N.º,Nombre del canal,Red,Vistas[1]​ (miles de millones),Contenido categoría[1]​,País,Idioma principal
1,T-Series[7]​,T-Series,230,Música,India,Hindi
2,Cocomelon - Nursery Rhymes[8]​,Moonbug Entertainment,165,Educación,Estados Unidos,Inglés
3,SET India[9]​,Culver Max Entertainment,149,Entretenimiento,India,Hindi
4,Sony SAB[10]​,Culver Max Entertainment,102,Entretenimiento,India,Hindi
5,Kids Diana Show[11]​,AIR,93.9,Viaje,Ucrania,Inglés
6,Like Nastya[12]​,Yoola,90.9,Entretenimiento,Rusia,Inglés e Ruso
7,WWE[13]​,WWE,78.0,Deportes,Estados Unidos,Inglés
8,Vlad and Niki[14]​,—,77.8,Entretenimiento,Estados Unidos,Inglés
9,Zee TV[15]​,Zee Entertainment Enterprises Limited,74.9,Música,India,Hindi
10,Colors TV[16]​,Viacom 18,62.6,Entretenimiento,India,Hindi
11,Movieclips[17]​,Movieclips,59.5,Películas,Estados Unidos,Inglés
12,Zee Music Company[18]​,Zee Entertainment Enterprises Limited,58.6,Música,India,Hindi
13,El Reino Infantil[19]​,Leader Music,57.8,Música,Argentina,Español
14,netd müzik[20]​,netd.com,56.5,Música,Turquía,Turco
15,Ryan's World[21]​,PocketWatch,55.5,Entretenimiento,Estados Unidos,Inglés
16,ABS-CBN Entertainment[22]​,ABS-CBN,50.5,Entretenimiento,Filipinas,Filipino
17,Toys and Colors[23]​,ONErpm,47.6,Entretenimiento,Estados Unidos,Inglés
18,ChuChu TV Nursery Rhymes & Kids Songs[24]​,ChuChu TV,46.2,Educación,India,Inglés
19,Super Simple Songs - Kids Songs[25]​,—,45.3,Educación,Canadá,Inglés
20,HAR PAL GEO[26]​,Geo Entertainment,42.2,Entretenimiento,Pakistán,Urdu
21,Wave Music[27]​,HT Mobile,40.7,Música,India,Portugués
22,Little Baby Bum[28]​,—,39.5,Educación,Reino Unido,Inglés
23,Pinkfong![29]​,SmartStudy,39.3,Educación,Estados Unidos,Inglés
24,ARY Digital HD[30]​,ARY Digital Network,39.2,Entretenimiento,Pakistán,Urdu
25,Canal Kondzilla[31]​,ONErpm,37.5,Música,Brasil,Portugués
26,Маша и Медведь[32]​,LetsonCorp,36.7,Películas,Rusia,Ruso
27,WorkpointOfficial[33]​,Workpoint Entertainment,36.2,Entretenimiento,Tailandia,Tailandés
28,YRF[34]​,YRF,35.8,Música,India,Hindi
29,Lanky Box[35]​,—,35.3,Juegos,Estados Unidos,Inglés
30,Tips Official[36]​,—,33.9,Música,India,Hindi
31,LooLoo Kids - Nursery Rhymes and Children's Songs[37]​,—,32.6,Música,Estados Unidos,Inglés
32,BLACKPINK[38]​,YG Entertainment,32.6,Música,Corea del sur,Coreano
33,D Billions[39]​,—,32.5,Entretenimiento,Estados Unidos,Inglés
34,Tsuriki Show[40]​,—,32.1,Comedia,Alemania,Inglés
35,Infobells - Hindi[41]​,Infobelle Interactive Solution,31.2,Educación,India,Hindi
36,Bad Bunny[42]​,—,31.0,Música,Puerto Rico,Español
37,Get Movies[43]​,LetsonCorp,30.9,Entretenimiento,Rusia,Ruso
38,JustinBieber[44]​,—,30.7,Música,Canadá,Inglés
39,Ed Sheeran[45]​,—,30.5,Música,Reino Unido,Inglés
40,Taylor Swift[46]​,—,30.3,Música,Estados Unidos,Inglés
41,Vijay Television[47]​,—,30.3,Entretenimiento,India,Tamil
42,T-Series Bhakti Sagar[48]​,—,29.9,Música,India,Hindi
43,MrBeast[49]​,—,29.8,Entretenimiento,Estados Unidos,Inglés
44,HYBE LABELS[50]​,—,29.2,Música,Corea del sur,Coreano
45,Ch3Thailand[51]​,Canal 3,29.1,Entretenimiento,Tailandia,Tailandés
46,Sony Music India[52]​,Sony Music,29.0,Música,India,Hindi
47,PewDiePie[53]​,re6l,29.0,Juegos,Suecia,Inglés
48,Sony PAL[54]​,Culver Max Entertainment,28.9,Entretenimiento,India,Hindi
49,Shemaroo Filmi Gaane[55]​,Shemaroo Music,28.8,Música,India,Hindi
50,DisneyMusicVEVO[56]​,Disney,28.8,Música,Estados Unidos,Inglés
Al,Al,Al,Al,Al,Al,Al
