Nombre del canal,Red/propietario,Fecha alcanzada,Días celebrados,Vistas,Ref.,País
T-Series[70]​,T-Series,16 de febrero de 2017,2374,14.8 mil millones,[64]​,India
PewDiePie[72]​,Felix Kjellberg,29 de diciembre de 2014,780,7.7 mil millones,[73]​[74]​[75]​,Suecia
EMI Music[76]​,EMI Music,15 de junio de 2014,197,6.2 mil millones,[77]​,Reino Unido
RihannaVEVO[78]​,Rihanna,22 de marzo de 2014,85,4.4 mil millones,[79]​,Barbados
Machinima[80]​,Machinima,29 de julio de 2013,236,2.0 mil millones,[81]​[82]​,Estados Unidos
VEVO[83]​,Vevo,23 de marzo de 2013,128,1.7 mil millones,[84]​,Estados Unidos
Universal Music Group[85]​,Universal Music Group,1 de octubre de 2011,539,532 millones,[86]​,Estados Unidos
Jawed[87]​,Jawed Karim,23 de abril de 2005,1,,[57]​[58]​,Estados Unidos
Al,Al,Al,Al,Al,Al,Al
