Unnamed: 0,XIAOMI REDMI 10
DIMENSIONES Y PESO,"161,95 x 75,53 x 8,92 mm 181 gramos"
PANTALLA,"IPS/LCD de 6,5 pulgadas Resolución FUllHD+ (2.400 x 1.080 píxeles) 405 ppp Tasa de refresco de 90 HZ AdaptiveSync Gorilla Glass 3"
PROCESADOR,MediaTek Helio G88 GPU ARM Mali-G52
MEMORIA RAM,4/6 GB LPDDR4x
ALMACENAMIENTO INTERNO,64/128 GB eMMC ampliable con microSD
CÁMARA TRASERA,"50 MP f/1.8 Gran angular 8 MP f/2.2, 120º FOV Macro 2 MP f/2.4 Profundidad 2 MP f/2.4"
CÁMARA DELANTERA,8 MP f/2.0
BATERÍA,5.000 mAh Carga rápida 18W Carga inversa 9W
SISTEMA OPERATIVO,Android 11 con MIUI 12.5
CONECTIVIDAD,"4G DualSIM NFC Bluetooth 5.1 Radio FM GPS, Galileo, GLONASS"
OTROS,"Sensor infrarrojos Doble altavoz Jack de 3,5 mm Lector de huellas lateral Desbloqueo facial"
PRECIO,"Desde 152,68 euros al cambio"
